consumer,resource_original,resource_collapsed,resource_group,reference,reference_lins,observations
Salmo salar,Amphipoda,Amphipoda,Amphipoda,Soto et al. (2001),https://esajournals.onlinelibrary.wiley.com/doi/full/10.1890/1051-0761%282001%29011%5B1750%3AESITIS%5D2.0.CO%3B2?casa_token=TDoh8tCi2eIAAAAA%3A7ZcavXsn4BEGEZEFHNSW3mE4QSVijx-U3ciIVTnnVuD-7e4TSDmKR_NhtXDRuQPUmuiiHLWIk80f9Bc,
Salmo salar,Merluccius sp.,Merluccius sp.,Pisces,Soto et al. (2001),https://esajournals.onlinelibrary.wiley.com/doi/full/10.1890/1051-0761%282001%29011%5B1750%3AESITIS%5D2.0.CO%3B2?casa_token=TDoh8tCi2eIAAAAA%3A7ZcavXsn4BEGEZEFHNSW3mE4QSVijx-U3ciIVTnnVuD-7e4TSDmKR_NhtXDRuQPUmuiiHLWIk80f9Bc,
Salmo salar,Odontesthes regia,Odontesthes sp.,Pisces,Antezana (pers. comm),,
Salp,Copepods,Copepoda,Copepoda,,https://www.int-res.com/abstracts/meps/v195/p201-220/,
Salp,Picoplankton,Phytoplankton,Phytoplankton,Cañete (pers. comm.),,
Salp,Nanoflagellates,Phytoplankton,Phytoplankton,,https://academic.oup.com/plankt/article/26/7/827/1514027?login=false,
Siphonaria lessonii,Macroalgae,Brown Algae,Macroalgae,Ríos & Gerdes (1997),https://epic.awi.de/id/eprint/5233/,
Siphonaria lessonii,Macrocystis pyrifera,Brown Algae,Macroalgae,Andrade unpub.,,
Siphonaria lessonii,Phytodetritus,Phytodetritus,Non-living,Andrade unpub.,,In situ observation
Spheniscus magellanicus,Munida gregaria,Benthic Decapoda,Decapoda,Venegas & Sielfeld (1981),"VENEGAS, C. & W. SIELFELD. 1981. Utilización de aves como indicadoras de presencia y potencialidad de recursos marinos eventualmente manejables. Resumen. P. 83, in Jornadas de Ciencias del Mar. Valdivia, Chile.",Stomach content
Spheniscus magellanicus,Cephalopoda indet,Cephalopoda,Cephalopoda,Boswall & MacIver (1975),"Boswall, J. and D. MacIver 1975 The Magellanic Penguin Spheniscus magellanicus. In Stonehouse, B. (ed.), The Biology of Penguins. University Park Press, Baltimore, USA 271-305.",Stomach content
Spheniscus magellanicus,Doryteuthis gahi,Doryteuthis gahi,Cephalopoda,Almonacid (2018),http://www.aveschile.cl/wp-content/uploads/2019/01/2_Almonacid_Vol.24-1-2018-RChO_dieta-pinguinos.pdf,Stomach content
Spheniscus magellanicus,Patagonotothen wiltoni,Patagonotothen sp.,Pisces,Almonacid (2018),http://www.aveschile.cl/wp-content/uploads/2019/01/2_Almonacid_Vol.24-1-2018-RChO_dieta-pinguinos.pdf,Stomach content
Spheniscus magellanicus,Ramnogaster arcuata,Ramnogaster arcuata,Pisces,Venegas & Sielfeld (1981),"VENEGAS, C. & W. SIELFELD. 1981. Utilización de aves como indicadoras de presencia y potencialidad de recursos marinos eventualmente manejables. Resumen. P. 83, in Jornadas de Ciencias del Mar. Valdivia, Chile.",Stomach content (unpublished data)
Spheniscus magellanicus,Sprattus fuegensis,Sprattus fuegensis,Pisces,Almonacid (2018),http://www.aveschile.cl/wp-content/uploads/2019/01/2_Almonacid_Vol.24-1-2018-RChO_dieta-pinguinos.pdf,Stomach content
Sprattus fuegensis  ,Amphipoda,Amphipoda,Amphipoda,Haro D. (2019),https://repositorio.uchile.cl/handle/2250/187376,Stomach content
Sprattus fuegensis  ,Hyperiidea,Amphipoda,Amphipoda,Haro D. (2019),https://repositorio.uchile.cl/handle/2250/187376,Stomach content
Sprattus fuegensis  ,Calanoida,Copepoda,Copepoda,Haro D. (2019),https://repositorio.uchile.cl/handle/2250/187376,Stomach content
Sprattus fuegensis  ,Copepods,Copepoda,Copepoda,Montecinos (2015),http://repositorio.udec.cl/jspui/bitstream/11594/1828/1/Tesis_Composicion_dietaria_de_Sprattus.Marked.pdf,Stomach content
Sprattus fuegensis  ,Harpacticoida,Copepoda,Copepoda,Haro D. (2019),https://repositorio.uchile.cl/handle/2250/187376,Stomach content
Sprattus fuegensis  ,Megacalanus sp.,Copepoda,Copepoda,Haro D. (2019),https://repositorio.uchile.cl/handle/2250/187376,Stomach content
Sprattus fuegensis  ,Centric diatoms,Diatoms,Phytoplankton,Montecinos (2015),http://repositorio.udec.cl/jspui/bitstream/11594/1828/1/Tesis_Composicion_dietaria_de_Sprattus.Marked.pdf,Stomach content
Sprattus fuegensis  ,Pennate diatoms,Diatoms,Phytoplankton,Montecinos (2015),http://repositorio.udec.cl/jspui/bitstream/11594/1828/1/Tesis_Composicion_dietaria_de_Sprattus.Marked.pdf,Stomach content
Sprattus fuegensis  ,Isopoda,Isopoda,Isopoda,Montecinos (2015),http://repositorio.udec.cl/jspui/bitstream/11594/1828/1/Tesis_Composicion_dietaria_de_Sprattus.Marked.pdf,Stomach content
Sprattus fuegensis  ,Asterionellopsis sp.,Planktonic Diatom,Phytoplankton,Montecinos (2015),http://repositorio.udec.cl/jspui/bitstream/11594/1828/1/Tesis_Composicion_dietaria_de_Sprattus.Marked.pdf,Stomach content
Sprattus fuegensis  ,Chaetoceros sp.,Planktonic Diatom,Phytoplankton,Montecinos (2015),http://repositorio.udec.cl/jspui/bitstream/11594/1828/1/Tesis_Composicion_dietaria_de_Sprattus.Marked.pdf,Stomach content
Sprattus fuegensis  ,Pseudonitzschia sp.,Planktonic Diatom,Phytoplankton,Montecinos (2015),http://repositorio.udec.cl/jspui/bitstream/11594/1828/1/Tesis_Composicion_dietaria_de_Sprattus.Marked.pdf,Stomach content
Sprattus fuegensis  ,Rhizosolenia sp.,Planktonic Diatom,Phytoplankton,Montecinos (2015),http://repositorio.udec.cl/jspui/bitstream/11594/1828/1/Tesis_Composicion_dietaria_de_Sprattus.Marked.pdf,Stomach content
Sprattus fuegensis  ,Thalassiosira sp.,Planktonic Diatom,Phytoplankton,Montecinos (2015),http://repositorio.udec.cl/jspui/bitstream/11594/1828/1/Tesis_Composicion_dietaria_de_Sprattus.Marked.pdf,Stomach content
Stercorarius chilensis,Ramnogaster arcuata,Ramnogaster arcuata,Pisces,Sepúlveda (2016),https://repositorio.unab.cl/xmlui/handle/ria/9936,Stomach content
Stercorarius chilensis,Sprattus fuegensis,Sprattus fuegensis,Pisces,Sepúlveda (2016),https://repositorio.unab.cl/xmlui/handle/ria/9936,Regurgited
Tachyeres pteneres,Crustaceans,Benthic Decapoda,Decapoda,,,
Tanaidae,Detritus,Detritus,Non-living,,,
Tanaidae,Phytoplankton,Phytoplankton,Phytoplankton,,,
Tanaidae,Zooplankton,Zooplankton,Zooplankton,,,
Tegula atra,Macrocystis pyrifera,Brown Algae,Macroalgae,Pinochet et al. (2018),https://www.scielo.cl/scielo.php?pid=S0718-686X2018000300051&script=sci_arttext&tlng=pt,Regurgited
Tegula atra,Ulva sp.,Green Algae,Macroalgae,Pinochet et al. (2018),https://www.scielo.cl/scielo.php?pid=S0718-686X2018000300051&script=sci_arttext&tlng=pt,In situ observation under laboratory conditions
Tegula atra,Mazzaella laminarioides,Red Algae,Macroalgae,Pinochet et al. (2018),https://www.scielo.cl/scielo.php?pid=S0718-686X2018000300051&script=sci_arttext&tlng=pt,In situ observation under laboratory conditions
Themisto gaudichaudii,Calanus simillimus,Calanus simillimus,Zooplankton,Pakhomov & Perissinotto (1996),https://doi.org/10.3354/meps134091,
Themisto gaudichaudii,Copepods,Copepoda,Copepoda,Pakhomov & Perissinotto (1996),https://www.int-res.com/articles/meps/134/m134p091.pdf,
Themisto gaudichaudii,Diatoms,Diatoms,Phytoplankton,Nemoto & Yoo (1970),https://www.scopus.com/record/display.uri?eid=2-s2.0-4644339524&origin=inward&txGid=58b2f2de375a8355f09dfc5a797f2334,
Themisto gaudichaudii,Euphausia lucens,Euphausia lucens,Zooplankton,Pakhomov & Perissinotto (1996),https://doi.org/10.3354/meps134091,
Themisto gaudichaudii,Euphausia vallentini,Euphausia vallentini,Zooplankton,Pakhomov & Perissinotto (1996),https://doi.org/10.3354/meps134091,
Themisto gaudichaudii,Polychaeta,Polychaeta,Polychaeta,Pakhomov & Perissinotto (1996),https://doi.org/10.3354/meps134091,
Thyrsites atun,Doryteuthis gahi,Doryteuthis gahi,Cephalopoda,Carimán & Reyes (2019),https://www.scielo.cl/scielo.php?pid=S0718-19572019000100011&script=sci_arttext&tlng=en,
Thyrsites atun,Odontesthes regia,Odontesthes sp.,Pisces,Carimán & Reyes (2019),https://www.scielo.cl/scielo.php?pid=S0718-19572019000100011&script=sci_arttext&tlng=en,
Thyrsites atun,Sprattus fuegensis,Sprattus fuegensis,Pisces,Carimán & Reyes (2019),https://www.scielo.cl/scielo.php?pid=S0718-19572019000100011&script=sci_arttext&tlng=en,
Trachurus murphyi,Copepods,Copepoda,Copepoda,Medina & Arancibia (2002),https://www.scielo.cl/scielo.php?pid=S0717-71782002000100003&script=sci_arttext,
Trachurus murphyi,Crustaceans,Crustaceans,Crustacea,,,
Trachurus murphyi,Myctophidae,Myctophidae,Pisces,Medina & Arancibia (2002),https://www.scielo.cl/scielo.php?pid=S0717-71782002000100003&script=sci_arttext,
Trachurus murphyi,Ostracods,Ostracoda,Ostracoda,Medina & Arancibia (2002),https://www.scielo.cl/scielo.php?pid=S0717-71782002000100003&script=sci_arttext,
Trophon geversianus,Aulacomya atra,Bivalvia,Bivalvia,Andrade & Ríos (2007),http://analesdelinstitutodelapatagonia.cl/index.php/analespatagonia/article/view/388,In situ observation
Trophon geversianus,Hiatella arctica,Bivalvia,Bivalvia,Andrade & Ríos (2007),http://analesdelinstitutodelapatagonia.cl/index.php/analespatagonia/article/view/389,In situ observation
Trophon geversianus,Mytilus chilensis,Mytilus sp.,Bivalvia,Andrade & Ríos (2007),http://analesdelinstitutodelapatagonia.cl/index.php/analespatagonia/article/view/387,In situ observation under laboratory conditions
Trophon geversianus,Perumytilus purpuratus,Perumytilus purpuratus,Bivalvia,Andrade & Ríos (2007),http://analesdelinstitutodelapatagonia.cl/index.php/analespatagonia/article/view/390,In situ observation
Zoarcidae,Amphipoda,Amphipoda,Amphipoda,,https://oceanrep.geomar.de/id/eprint/53025/1/3857.pdf,
Zoarcidae,Polychaetes,Polychaeta,Polychaeta,,https://oceanrep.geomar.de/id/eprint/53025/1/3857.pdf,
Zooplankton,Phytoplankton,Phytoplankton,Phytoplankton,,,
