ID,Prey,Taxonomic_group_prey,Predator,Taxonomic_group_pred,Citation,Full_reference
92,Lithodes santolla,Decapoda,Dissostichus eleginoides,"Teleostei
",Murillo et al. (2008),"Murillo, C., Oyarzún, C., & Fernández, I. (2008). Variación latitudinal y estacional en la dieta de Dissostichus eleginoides Smitt, 1898 (Perciformes: Nototheniidae) en ambientes profundos de la costa centro-sur de Chile. Gayana (Concepción), 72(1). https://doi.org/10.4067/S0717-65382008000100011"
93,Macruronus magellanicus,Teleostei,Dissostichus eleginoides,"Teleostei
",Troccoli et al. (2020),"Troccoli, G. H., Aguilar, E., Martínez, P. A., & Belleggia, M. (2020). The diet of the Patagonian toothfish Dissostichus eleginoides, a deep-sea top predator off Southwest Atlantic Ocean. Polar Biology, 43(10), 1595-1604. https://doi.org/10.1007/s00300-020-02730-2"
94,Salilota australis,Teleostei,Dissostichus eleginoides,"Teleostei
",Troccoli et al. (2020),"Troccoli, G. H., Aguilar, E., Martínez, P. A., & Belleggia, M. (2020). The diet of the Patagonian toothfish Dissostichus eleginoides, a deep-sea top predator off Southwest Atlantic Ocean. Polar Biology, 43(10), 1595-1604. https://doi.org/10.1007/s00300-020-02730-2"
95,Sprattus fuegensis,Teleostei,Dissostichus eleginoides,"Teleostei
",Troccoli et al. (2020),"Troccoli, G. H., Aguilar, E., Martínez, P. A., & Belleggia, M. (2020). The diet of the Patagonian toothfish Dissostichus eleginoides, a deep-sea top predator off Southwest Atlantic Ocean. Polar Biology, 43(10), 1595-1604. https://doi.org/10.1007/s00300-020-02730-2"
96,Benthic decapoda,Decapoda,Doryteuthis gahi,Cephalopoda,Almonacid (pers. comm),
97,Sprattus fuegensis,Teleostei,Doryteuthis gahi,Cephalopoda,Almonacid (pers. comm),
98,Acanthocyclus albatrossis,Decapoda,Eleginops maclovinus,"Teleostei
",Córdova et al. (2009),"Córdova, O., Rau, J. R., Suazo, C. G., & Arriagada, A. (2009). Estudio comparativo de la ecología alimentaria del depredador de alto nivel trófico Lontra felina (Molina, 1782) (Carnivora: Mustelidae) en Chile. Revista de Biología Marina y Oceanografía, 44(2). https://doi.org/10.4067/S0718-19572009000200016"
99,Amphipoda,Amphipoda,Eleginops maclovinus,"Teleostei
",Guzmán & Campodonico (1973),"Guzmán, L., & Campodónico, I. (1973). Algunos aspectos de la biología de Eleginops maclovinus (Cuv. Y Val.) 1830, con especial referencia a su morfometría, caracteres merísticos y alimentación. Anales del Instituto de la Patagonia, 4, 343-371."
100,Benthic decapoda,Decapoda,Eleginops maclovinus,Teleostei,Guzmán & Campodonico (1973),"Guzmán, L., & Campodónico, I. (1973). Algunos aspectos de la biología de Eleginops maclovinus (Cuv. Y Val.) 1830, con especial referencia a su morfometría, caracteres merísticos y alimentación. Anales del Instituto de la Patagonia, 4, 343-371."
101,Brachiopoda,Brachiopoda,Eleginops maclovinus,"Teleostei
",Guzmán & Campodonico (1973),"Guzmán, L., & Campodónico, I. (1973). Algunos aspectos de la biología de Eleginops maclovinus (Cuv. Y Val.) 1830, con especial referencia a su morfometría, caracteres merísticos y alimentación. Anales del Instituto de la Patagonia, 4, 343-371."
102,Cephalopoda,Cephalopoda,Eleginops maclovinus,"Teleostei
",Guzmán & Campodonico (1973),"Guzmán, L., & Campodónico, I. (1973). Algunos aspectos de la biología de Eleginops maclovinus (Cuv. Y Val.) 1830, con especial referencia a su morfometría, caracteres merísticos y alimentación. Anales del Instituto de la Patagonia, 4, 343-371."
103,Copepoda,Copepoda,Eleginops maclovinus,"Teleostei
",Guzmán & Campodonico (1973),"Guzmán, L., & Campodónico, I. (1973). Algunos aspectos de la biología de Eleginops maclovinus (Cuv. Y Val.) 1830, con especial referencia a su morfometría, caracteres merísticos y alimentación. Anales del Instituto de la Patagonia, 4, 343-371."
104,Cyanobacteria,Cyanophyceae,Eleginops maclovinus,"Teleostei
",Guzmán & Campodonico (1973),"Guzmán, L., & Campodónico, I. (1973). Algunos aspectos de la biología de Eleginops maclovinus (Cuv. Y Val.) 1830, con especial referencia a su morfometría, caracteres merísticos y alimentación. Anales del Instituto de la Patagonia, 4, 343-371."
105,Detritus,"Non-living
",Eleginops maclovinus,"Teleostei
",Guzmán & Campodonico (1973),"Guzmán, L., & Campodónico, I. (1973). Algunos aspectos de la biología de Eleginops maclovinus (Cuv. Y Val.) 1830, con especial referencia a su morfometría, caracteres merísticos y alimentación. Anales del Instituto de la Patagonia, 4, 343-371."
106,Exosphaeroma gigas,Isopoda,Eleginops maclovinus,"Teleostei
",Andrade (pers. comm.),
107,Foraminifera,Foraminifera,Eleginops maclovinus,"Teleostei
",Guzmán & Campodonico (1973),"Guzmán, L., & Campodónico, I. (1973). Algunos aspectos de la biología de Eleginops maclovinus (Cuv. Y Val.) 1830, con especial referencia a su morfometría, caracteres merísticos y alimentación. Anales del Instituto de la Patagonia, 4, 343-371."
108,Green algae,Macroalgae,Eleginops maclovinus,"Teleostei
",Guzmán & Campodonico (1973),"Guzmán, L., & Campodónico, I. (1973). Algunos aspectos de la biología de Eleginops maclovinus (Cuv. Y Val.) 1830, con especial referencia a su morfometría, caracteres merísticos y alimentación. Anales del Instituto de la Patagonia, 4, 343-371."
109,Halicarcinus planatus,Decapoda,Eleginops maclovinus,"Teleostei
",Guzmán & Campodonico (1973),"Guzmán, L., & Campodónico, I. (1973). Algunos aspectos de la biología de Eleginops maclovinus (Cuv. Y Val.) 1830, con especial referencia a su morfometría, caracteres merísticos y alimentación. Anales del Instituto de la Patagonia, 4, 343-371."
110,Isopoda,Isopoda,Eleginops maclovinus,"Teleostei
",Guzmán & Campodonico (1973),"Guzmán, L., & Campodónico, I. (1973). Algunos aspectos de la biología de Eleginops maclovinus (Cuv. Y Val.) 1830, con especial referencia a su morfometría, caracteres merísticos y alimentación. Anales del Instituto de la Patagonia, 4, 343-371."
111,Ostracoda,Ostracoda,Eleginops maclovinus,"Teleostei
",Guzmán & Campodonico (1973),"Guzmán, L., & Campodónico, I. (1973). Algunos aspectos de la biología de Eleginops maclovinus (Cuv. Y Val.) 1830, con especial referencia a su morfometría, caracteres merísticos y alimentación. Anales del Instituto de la Patagonia, 4, 343-371."
112,Patagonotothen cornucola,Teleostei,Eleginops maclovinus,"Teleostei
",Martin & Bastida (2008),"Martin, J., & Bastida, R. (2008). Contribución de las comunidades bentónicas en la dieta del róbalo (Eleginops maclovinus) en la Ría Deseado (Santa Cruz, Argentina). Latin American Journal of Aquatic Research, 36(1), 1-13. https://doi.org/10.3856/vol36-issue1-fulltext-1"
113,Polychaeta,Polychaeta,Eleginops maclovinus,"Teleostei
",Guzmán & Campodonico (1973),"Guzmán, L., & Campodónico, I. (1973). Algunos aspectos de la biología de Eleginops maclovinus (Cuv. Y Val.) 1830, con especial referencia a su morfometría, caracteres merísticos y alimentación. Anales del Instituto de la Patagonia, 4, 343-371."
114,Red algae,Macroalgae,Eleginops maclovinus,"Teleostei
",Guzmán & Campodonico (1973),"Guzmán, L., & Campodónico, I. (1973). Algunos aspectos de la biología de Eleginops maclovinus (Cuv. Y Val.) 1830, con especial referencia a su morfometría, caracteres merísticos y alimentación. Anales del Instituto de la Patagonia, 4, 343-371."
115,Sediment,"Non-living
",Eleginops maclovinus,"Teleostei
",Guzmán & Campodonico (1973),"Guzmán, L., & Campodónico, I. (1973). Algunos aspectos de la biología de Eleginops maclovinus (Cuv. Y Val.) 1830, con especial referencia a su morfometría, caracteres merísticos y alimentación. Anales del Instituto de la Patagonia, 4, 343-371."
116,Tanaidae,Tanaidacea,Eleginops maclovinus,"Teleostei
",Haro (2019),"Haro, D. P. (2019). Rol trófico de la ballena Jorobada, Megaptera Novaeangliae (Borowski, 1781), y caracterización de la red trófica en el área marina costera protegida Francisco Coloane, Estrecho de Magallanes, Chile [PhD Thesis]. Universidad de Chile, Santiago, Chile."
117,Zooplankton,Zooplankton,Eleginops maclovinus,"Teleostei
",Guzmán & Campodonico (1973),"Guzmán, L., & Campodónico, I. (1973). Algunos aspectos de la biología de Eleginops maclovinus (Cuv. Y Val.) 1830, con especial referencia a su morfometría, caracteres merísticos y alimentación. Anales del Instituto de la Patagonia, 4, 343-371."
118,Benthic decapoda,Decapoda,Enteroctopus megalocyathus,Cephalopoda,Sepúlveda (pers. comm),
119,Bivalvia,Bivalvia,Enteroctopus megalocyathus,Cephalopoda,Sepúlveda (pers. comm),
120,Phytoplankton,Phytoplankton,Euphausia lucens,Euphausiacea,Stuart (1986),"Stuart, V. (1986). Feeding and metabolism of Euphausia lucens (Euphausiacea) in the southern Benguela current. Marine Ecology Progress Series, 30, 117-125. https://doi.org/10.3354/meps030117"
121,Phytoplankton,Phytoplankton,Euphausia vallentini,Euphausiacea,Sánchez et al. (2011),"Sanchez, N., Gonzalez, H. E., & Iriarte, J. L. (2011). Trophic interactions of pelagic crustaceans in Comau Fjord (Chile): Their role in the food web structure. Journal of Plankton Research, 33(8), 1212-1229. https://doi.org/10.1093/plankt/fbr022"
122,Plankton diatom,Bacillariophyceae,Euphausia vallentini,Euphausiacea,Sánchez et al. (2011),"Sanchez, N., Gonzalez, H. E., & Iriarte, J. L. (2011). Trophic interactions of pelagic crustaceans in Comau Fjord (Chile): Their role in the food web structure. Journal of Plankton Research, 33(8), 1212-1229. https://doi.org/10.1093/plankt/fbr022"
123,Bryozoa,Bryozoa,Eurypodius latreillei,Decapoda,Comoglio (1994),"Comoglio, L. (1994). La nutrición de los crustáceos decápodos en el Canal Beagle con especial énfasis en la centolla (Lithodes santolla) y el centollón (Paralomis granulosa), y la función trófica de los mismos en el ecosistema. [PhD Thesis] Facultad de Ciencias Exactas y Naturales. Universidad de Buenos Aires. http://digital.bl.fcen.uba.ar/Download/Tesis/Tesis_2640_Comoglio.pdf"
124,Foraminifera,Foraminifera,Eurypodius latreillei,Decapoda,Comoglio (1994),"Comoglio, L. (1994). La nutrición de los crustáceos decápodos en el Canal Beagle con especial énfasis en la centolla (Lithodes santolla) y el centollón (Paralomis granulosa), y la función trófica de los mismos en el ecosistema. [PhD Thesis] Facultad de Ciencias Exactas y Naturales. Universidad de Buenos Aires. http://digital.bl.fcen.uba.ar/Download/Tesis/Tesis_2640_Comoglio.pdf"
125,Halicarcinus planatus,Decapoda,Eurypodius latreillei,Decapoda,Comoglio (1994),"Comoglio, L. (1994). La nutrición de los crustáceos decápodos en el Canal Beagle con especial énfasis en la centolla (Lithodes santolla) y el centollón (Paralomis granulosa), y la función trófica de los mismos en el ecosistema. [PhD Thesis] Facultad de Ciencias Exactas y Naturales. Universidad de Buenos Aires. http://digital.bl.fcen.uba.ar/Download/Tesis/Tesis_2640_Comoglio.pdf"
126,Isopoda,Isopoda,Eurypodius latreillei,Decapoda,Comoglio (1994),"Comoglio, L. (1994). La nutrición de los crustáceos decápodos en el Canal Beagle con especial énfasis en la centolla (Lithodes santolla) y el centollón (Paralomis granulosa), y la función trófica de los mismos en el ecosistema. [PhD Thesis] Facultad de Ciencias Exactas y Naturales. Universidad de Buenos Aires. http://digital.bl.fcen.uba.ar/Download/Tesis/Tesis_2640_Comoglio.pdf"
127,Pagurus sp.,Decapoda,Eurypodius latreillei,Decapoda,Comoglio (1994),"Comoglio, L. (1994). La nutrición de los crustáceos decápodos en el Canal Beagle con especial énfasis en la centolla (Lithodes santolla) y el centollón (Paralomis granulosa), y la función trófica de los mismos en el ecosistema. [PhD Thesis] Facultad de Ciencias Exactas y Naturales. Universidad de Buenos Aires. http://digital.bl.fcen.uba.ar/Download/Tesis/Tesis_2640_Comoglio.pdf"
128,Detritus,"Non-living
",Exosphaeroma gigas,Isopoda,Andrade (pers. comm.),
129,Brown algae,Macroalgae,Fissurella oriens,Gastropoda,Andrade (pers. comm.),
130,Brown algae,Macroalgae,Fissurella radiosa,Gastropoda,Andrade (pers. comm.),
131,Copepoda,Copepoda,Foraminifera,Foraminifera,Hayward et al. (2021),"Hayward, B. W., Holzmann, M., Pawlowski, J., Parker, J. H., Kaushik, T., Toyofuku, M. S., & Tsuchiya, M. (2021). Molecular and morphological taxonomy of living Ammonia and related taxa (Foraminifera) and their biogeography. Micropaleontology, 67."
132,Phytodetritus,"Non-living
",Foraminifera,Foraminifera,Hayward et al. (2021),"Hayward, B. W., Holzmann, M., Pawlowski, J., Parker, J. H., Kaushik, T., Toyofuku, M. S., & Tsuchiya, M. (2021). Molecular and morphological taxonomy of living Ammonia and related taxa (Foraminifera) and their biogeography. Micropaleontology, 67."
133,Phytoplankton,Phytoplankton,Foraminifera,Foraminifera,Hayward et al. (2021),"Hayward, B. W., Holzmann, M., Pawlowski, J., Parker, J. H., Kaushik, T., Toyofuku, M. S., & Tsuchiya, M. (2021). Molecular and morphological taxonomy of living Ammonia and related taxa (Foraminifera) and their biogeography. Micropaleontology, 67."
134,Phytoplankton,Phytoplankton,Gaimardia trapesina,Bivalvia,Adami & Gordillo (1999),"Adami, M. L., & Gordillo, S. (1999). Structure and dynamics of the biota associated with Macrocystis pyrifera (Phaeophyta) from the Beagle Channel, Tierra del Fuego. Scientia Marina, 63(S1), 183-191."
135,Detritus,"Non-living
",Gammaridae,Bivalvia,Felten et al. (2008),"Felten, V., Tixier, G., Guérold, F., De Crespin De Billy, V., & Dangles, O. (2008). Quantification of diet variability in a stream amphipod: Implications for ecosystem functioning. Fundamental and Applied Limnology, 170(4), 303."
136,Phytoplankton,Phytoplankton,Gammaridae,Bivalvia,Felten et al. (2008),"Felten, V., Tixier, G., Guérold, F., De Crespin De Billy, V., & Dangles, O. (2008). Quantification of diet variability in a stream amphipod: Implications for ecosystem functioning. Fundamental and Applied Limnology, 170(4), 303."
137,Zooplankton,Zooplankton,Gammaridae,Bivalvia,Felten et al. (2008),"Felten, V., Tixier, G., Guérold, F., De Crespin De Billy, V., & Dangles, O. (2008). Quantification of diet variability in a stream amphipod: Implications for ecosystem functioning. Fundamental and Applied Limnology, 170(4), 303."
138,Phytoplankton,Phytoplankton,Gastropoda,Gastropoda,Andrade & Brey (2014),"Andrade, C., & Brey, T. (2014). Trophic ecology of limpets among rocky intertidal in Bahia Laredo, Strait of Magellan (Chile). Anales Del Instituto de La Patagonia, 42(2), 65-70. https://doi.org/10.4067/S0718-686X2014000200006"
139,Amphipoda,Amphipoda,Genypterus blacodes,Teleostei ,Haro (2019),"Haro, D. P. (2019). Rol trófico de la ballena Jorobada, Megaptera Novaeangliae (Borowski, 1781), y caracterización de la red trófica en el área marina costera protegida Francisco Coloane, Estrecho de Magallanes, Chile [PhD Thesis]. Universidad de Chile, Santiago, Chile."
140,Benthic decapoda,Decapoda,Genypterus blacodes,Teleostei ,Andrade (pers. comm.),
141,Merluccius sp.,Teleostei,Genypterus blacodes,Teleostei ,Haro (2019),"Haro, D. P. (2019). Rol trófico de la ballena Jorobada, Megaptera Novaeangliae (Borowski, 1781), y caracterización de la red trófica en el área marina costera protegida Francisco Coloane, Estrecho de Magallanes, Chile [PhD Thesis]. Universidad de Chile, Santiago, Chile."
142,Odontesthes sp.,Teleostei ,Genypterus blacodes,Teleostei ,Haro (2019),"Haro, D. P. (2019). Rol trófico de la ballena Jorobada, Megaptera Novaeangliae (Borowski, 1781), y caracterización de la red trófica en el área marina costera protegida Francisco Coloane, Estrecho de Magallanes, Chile [PhD Thesis]. Universidad de Chile, Santiago, Chile."
143,Patagonotothen sp.,Teleostei,Genypterus blacodes,Teleostei ,Haro (2019),"Haro, D. P. (2019). Rol trófico de la ballena Jorobada, Megaptera Novaeangliae (Borowski, 1781), y caracterización de la red trófica en el área marina costera protegida Francisco Coloane, Estrecho de Magallanes, Chile [PhD Thesis]. Universidad de Chile, Santiago, Chile."
144,Sprattus fuegensis,Teleostei,Genypterus blacodes,Teleostei ,Zuleta & Rubilar (2010),"Zuleta, A & P. Rubilar. (2010). Impacto del desarrollo de una pesquería de sardina austral (Sprattus fueguensis) en aguas interiores de las regiones X-XII. Informe Técnico. Centro de Estudios Pesqueros S.A."
145,Detritus,"Non-living
",Halicarcinus planatus,Decapoda,Andrade (pers. comm.),
146,Amphipoda,Amphipoda,Harpagifer bispinis,Teleostei,Hüne & Vega (2016),"Hüne, M., & Vega, R. (2016). Feeding habits in two sympatric species of Notothenioidei, Patagonotothen cornucola and Harpagifer bispinis, in the Chilean Patagonian channels and fjords. Polar Biology, 39(12), 2253-2262. https://doi.org/10.1007/s00300-016-1892-3"
147,Exosphaeroma gigas,Isopoda,Harpagifer bispinis,Teleostei,Hüne & Vega (2016),"Hüne, M., & Vega, R. (2016). Feeding habits in two sympatric species of Notothenioidei, Patagonotothen cornucola and Harpagifer bispinis, in the Chilean Patagonian channels and fjords. Polar Biology, 39(12), 2253-2262. https://doi.org/10.1007/s00300-016-1892-3"
148,Isopoda,Isopoda,Harpagifer bispinis,Teleostei,Andrade (pers. comm.),
149,Polychaeta,Polychaeta,Harpagifer bispinis,Teleostei,Hüne & Rivera (2010),"Hüne, M., & Rivera, G. (2010). Contribution of polychaetes (Annelida: Polychaeta) in the diet of three notothenioid species (Perciformes: Notothenioidei) from the Magellan region. Anales Del Instituto de La Patagonia, 38(2), 39-46. https://doi.org/10.4067/S0718-686X2010000200004"
150,Tanaidae,Tanaidacea,Harpagifer bispinis,Teleostei,Hüne & Vega (2016),"Hüne, M., & Vega, R. (2016). Feeding habits in two sympatric species of Notothenioidei, Patagonotothen cornucola and Harpagifer bispinis, in the Chilean Patagonian channels and fjords. Polar Biology, 39(12), 2253-2262. https://doi.org/10.1007/s00300-016-1892-3"
151,Detritus,"Non-living
",Hydrozoa,Hydrozoa,Aldea (pers. comm.),
152,Phytoplankton,Phytoplankton,Hydrozoa,Hydrozoa,Aldea (pers. comm.),
153,Zooplankton,Zooplankton,Hydrozoa,Hydrozoa,Aldea (pers. comm.),
154,Amphipoda,Amphipoda,Illex argentinus,Cephalopoda,Ivanovic (2010),"Ivanovic, M. L. (2010). Alimentación del calamar Illex argentinus en la región patagónica durante el verano de los años 2006, 2007 y 2008."
155,Copepoda,Copepoda,Illex argentinus,Cephalopoda,Ivanovic (2010),"Ivanovic, M. L. (2010). Alimentación del calamar Illex argentinus en la región patagónica durante el verano de los años 2006, 2007 y 2008."
156,Doryteuthis gahi,Cephalopoda,Illex argentinus,Cephalopoda,Ivanovic (2010),"Ivanovic, M. L. (2010). Alimentación del calamar Illex argentinus en la región patagónica durante el verano de los años 2006, 2007 y 2008."
157,Euphausia lucens,Euphausiacea,Illex argentinus,Cephalopoda,Ivanovic (2010),"Ivanovic, M. L. (2010). Alimentación del calamar Illex argentinus en la región patagónica durante el verano de los años 2006, 2007 y 2008."
158,Brown algae,Macroalgae,Isopoda,Isopoda,Andrade (pers. comm.),
159,Detritus,"Non-living
",Isopoda,Isopoda,Andrade (pers. comm.),
160,Phytodetritus,"Non-living
",Isopoda,Isopoda,Andrade (pers. comm.),
161,Exosphaeroma gigas,Isopoda,Labidiaster radiosus,Asteroidea,Andrade (pers. comm.),
162,Eleginops maclovinus,"Teleostei
",Lagenorhynchus australis,Mammalia,Schiavini et al. (1997),"Schiavini, A., Goodall, R. N. P., Lescrauwaet, A.-K., & Koen Alonso, M. (1997). Food habits of the Peale’s dolphin, Lagenorhynchus australis; review and new information. Report of the International Whaling Commission, 47, 827-834."
163,Enteroctopus megalocyathus,Cephalopoda,Lagenorhynchus australis,Mammalia,Schiavini et al. (1997),"Schiavini, A., Goodall, R. N. P., Lescrauwaet, A.-K., & Koen Alonso, M. (1997). Food habits of the Peale’s dolphin, Lagenorhynchus australis; review and new information. Report of the International Whaling Commission, 47, 827-834."
164,Genypterus blacodes,Teleostei ,Lagenorhynchus australis,Mammalia,Schiavini et al. (1997),"Schiavini, A., Goodall, R. N. P., Lescrauwaet, A.-K., & Koen Alonso, M. (1997). Food habits of the Peale’s dolphin, Lagenorhynchus australis; review and new information. Report of the International Whaling Commission, 47, 827-834."
